,date,timestamp,heading,url,image
0,13 March 2022,7:14 PM,Russia-Ukraine war latest news: dozens reportedly dead after military base hit; US journalist killed by Russian forces,https://www.theguardian.com/world/live/2022/mar/13/ukraine-news-russia-war-ceasefire-broken-humanitarian-corridors-kyiv-russian-invasion-live-vladimir-putin-volodymyr-zelenskiy-latest-updates-live,https://i.guim.co.uk/img/media/8b564642440cc1ac85a94d65e66193fcaad1709f/0_218_3774_2265/master/3774.jpg?width=300&quality=85&auto=format&fit=max&s=4673e5428156310b77a4f56292480e76
1,13 March 2022,7:08 PM,Biden adviser rejects Republican call to ‘close skies’ over Ukraine,https://www.theguardian.com/us-news/2022/mar/13/biden-adviser-rejects-republican-call-close-skies-over-ukraine,https://i.guim.co.uk/img/media/9c52e55a348f017bbe3be00ad8547b7271b445f5/0_241_6000_3600/master/6000.jpg?width=300&quality=85&auto=format&fit=max&s=3f5707231130548d0a644400cd090a0b
2,13 March 2022,6:55 PM,"Tanks, bombs, shootings: Ukrainians describe Russian takeover of villages",https://www.theguardian.com/world/2022/mar/13/tanks-bombs-shootings-ukrainians-describe-russian-takeover-of-villages,https://i.guim.co.uk/img/media/fd34505beec665971842f059c6f48c44e1209837/0_185_3500_2101/master/3500.jpg?width=300&quality=85&auto=format&fit=max&s=36cc23ab93d168ec87a9711389e362df
3,13 March 2022,6:47 PM,Benedict Cumberbatch says he will take part in ‘homes for Ukraine’ scheme,https://www.theguardian.com/culture/2022/mar/13/benedict-cumberbatch-homes-for-ukraine-scheme,
4,13 March 2022,6:47 PM,"Russian default on debts no longer ‘improbable’, says IMF head",https://www.theguardian.com/world/2022/mar/13/russian-default-on-debts-no-longer-improbable-says-imf-head,
5,13 March 2022,6:26 PM,Our families fled the war in Ukraine. Now they are tied up by Home Office red tape,https://www.theguardian.com/world/2022/mar/13/our-families-fled-the-war-in-ukraine-now-they-are-tied-up-by-home-office-red-tape,
6,13 March 2022,6:25 PM,Why now is no time for Tchaikovsky’s 1812 Overture,https://www.theguardian.com/music/2022/mar/13/why-now-is-no-time-for-tchaikovskys-1812-overture,
7,13 March 2022,6:05 PM,West Ham’s Yarmolenko admits football ‘difficult’ given situation in Ukraine,https://www.theguardian.com/football/2022/mar/13/west-ham-andriy-yarmolenko-admits-football-difficult-given-situation-ukraine-aston-villa,
8,13 March 2022,6:03 PM,Russian Orthodox church in Amsterdam announces split with Moscow,https://www.theguardian.com/world/2022/mar/13/russian-orthodox-church-in-amsterdam-announces-split-with-moscow,
9,13 March 2022,5:41 PM,Russian-owned auction house faces boycott by art world figures,https://www.theguardian.com/world/2022/mar/13/russian-owned-auction-house-faces-boycott-by-art-world-figures,
