,created_at,full_text,favorite_count,retweet_count,account_name,id
0,2022-07-02 12:56:15+00:00,Utah Jazz trade Rudy Gobert to Timberwolves for four first-round picks https://t.co/RYnW0B0ZGB,15,4,@guardian,1543216986783612930
1,2022-07-02 12:44:25+00:00,Original Observer Photography https://t.co/yJbefjyfVT,18,4,@guardian,1543214006202163202
2,2022-07-02 12:36:48+00:00,Neon White review – an exhilarating speedrun through a celestial dreamscape https://t.co/NiuJyzR0xf,20,4,@guardian,1543212090860642305
3,2022-07-02 12:26:48+00:00,Meera Sodha’s vegan recipe for Thai-style pineapple fried rice | The new vegan https://t.co/12nYOrvbVP,57,8,@guardian,1543209572432855040
4,2022-07-02 12:04:57+00:00,"Andy Goram, former Rangers and Scotland goalkeeper, dies aged 58 https://t.co/Ltoj1Ln0MI",54,15,@guardian,1543204073662554112
5,2022-07-02 11:57:46+00:00,TalkTV apologises to mental health charity over ‘plain wrong’ claims https://t.co/SYOeUzzIbw,24,9,@guardian,1543202268375285760
6,2022-07-02 11:37:36+00:00,The week in classical: Migrations; Aldeburgh festival; Royal Academy of Music SO/Bychkov https://t.co/T9cmhCxMLM,16,4,@guardian,1543197192265023488
7,2022-07-02 11:36:33+00:00,"‘Perfect storm’ of crises is widening global inequality, says UN chief https://t.co/cUWW8TIUZP",46,24,@guardian,1543196926287437824
8,2022-07-02 11:32:27+00:00,Big Zuu’s Big Eats: the most fun cookery show ever made https://t.co/7PGUpajI53,31,6,@guardian,1543195897282035714
9,2022-07-02 11:26:11+00:00,Pride in London 2022: huge turnout expected at first march since pandemic – live updates https://t.co/NnOEm1eRku,104,15,@guardian,1543194318973943808
10,2022-07-02 11:18:31+00:00,Women’s Euro 2022 team guide No 12: Switzerland https://t.co/AWomEk1hjQ,46,12,@guardian,1543192389543763969
11,2022-07-02 11:14:59+00:00,Jerry Hall files for divorce from Rupert Murdoch in US court https://t.co/WdguBsbcBT,44,11,@guardian,1543191498530988032
12,2022-07-02 11:09:41+00:00,UK Foreign Office condemns Russian ‘exploitation’ of prisoners in Ukraine https://t.co/Sqy1ZrVcPX,43,18,@guardian,1543190165417598977
13,2022-07-02 11:03:50+00:00,Taking on Putin through porn: how Russians are finding out the truth about Ukraine | Jemimah Steinfeld https://t.co/252R29J73X,79,32,@guardian,1543188693170651138
14,2022-07-02 11:00:00+00:00,"With Women's Euro 2022 on the horizon, get match-fit with our ultimate guide, featuring analysis from top commentators, full team guides, complete fixtures, stadium tours and more. 

Only with the Guardian today. https://t.co/iW97zNxeJY",9,3,@guardian,1543187729969733633
15,2022-07-02 10:56:12+00:00,NFT sales hit 12-month low after cryptocurrency crash https://t.co/dJY1iFlYU8,108,33,@guardian,1543186773253160971
16,2022-07-02 10:48:33+00:00,Tour de France 2022: stage two – live! https://t.co/fx7HhBIWrv,19,4,@guardian,1543184846905901056
17,2022-07-02 10:43:49+00:00,Sexton injury adds to Ireland woes in crushing defeat by New Zealand https://t.co/yaK9J4Ywj7,19,3,@guardian,1543183656658894848
18,2022-07-02 10:38:02+00:00,Alarm as US supreme court takes a hatchet to church-state separation https://t.co/17uMJfoi4b,94,49,@guardian,1543182200069308416
19,2022-07-02 10:29:00+00:00,Tell us: have you returned goods after buying them online? https://t.co/2n2Ojc9bwR,18,2,@guardian,1543179927305957376
20,2022-07-02 10:24:18+00:00,Pride in London: more than a million expected to gather in the capital https://t.co/ugxZwDrY3T,115,22,@guardian,1543178744596144129
21,2022-07-02 10:22:10+00:00,Coronavirus and summer travel: how to stay safe on holiday https://t.co/7RrWH5fCzW,24,7,@guardian,1543178209910480896
22,2022-07-02 10:08:26+00:00,Lewis Hamilton shows grace and purpose to rise above F1 racism rows | Giles Richards https://t.co/GdPFliiRye,150,21,@guardian,1543174754730926081
23,2022-07-02 09:53:53+00:00,Texas blocks court order allowing clinics to perform abortions after Roe v Wade https://t.co/bwB7Xhuzs6,26,14,@guardian,1543171089110634496
24,2022-07-02 09:44:05+00:00,"Wimbledon 2022: Nadal, Swiatek, Boulter and Broady in action on day six – live! https://t.co/zmxse2kqZn",19,1,@guardian,1543168623027666944
25,2022-07-02 09:37:29+00:00,Venice day-trippers will have to make reservations and pay fee https://t.co/CEPzKYiq7z,67,18,@guardian,1543166963567976448
26,2022-07-02 09:27:56+00:00,Tim Dowling: I’m at a cashless festival – it feels like a dystopian future https://t.co/lO5Q0dCPfx,35,10,@guardian,1543164558608633856
27,2022-07-02 09:15:39+00:00,Australia v England: first rugby union Test – live! https://t.co/hh4Ll0S31N,11,3,@guardian,1543161471256895489
28,2022-07-02 09:03:10+00:00,EU roaming charges are back after Brexit – beware high mobile bills https://t.co/a0qmn4cgb4,1226,635,@guardian,1543158327231782912
29,2022-07-02 08:59:15+00:00,"England v India: fifth Test, day two – live! https://t.co/P6oL2lv0JN",13,2,@guardian,1543157343239770113
30,2022-07-02 08:52:55+00:00,"Nick Kyrgios plays the villain perfectly, but deep down he just wants to be loved | Barney Ronay https://t.co/k1CWGx6tpb",47,8,@guardian,1543155748821164032
31,2022-07-02 08:40:24+00:00,From a powerful look at a mass shooting to a comically crazed infant: a complete guide to this week’s entertainment https://t.co/9J5GuvR2Ii,13,1,@guardian,1543152597770637314
32,2022-07-02 08:23:02+00:00,Train drivers’ strike to hit more than 90% of Greater Anglia services https://t.co/ezKuE8ynWb,28,11,@guardian,1543148229235294208
33,2022-07-02 08:14:33+00:00,‘It felt like history itself’ – 48 protest photographs that changed the world https://t.co/pmZp9okYZg,129,66,@guardian,1543146093357285376
34,2022-07-02 08:02:33+00:00,‘People want to get their clothes off’: naturists catch eye of UK businesses https://t.co/KXdX3qNeij,34,8,@guardian,1543143073395494912
35,2022-07-02 08:00:01+00:00,"In this week's #ComfortEatingPod, @gracedent's special guest is @MarianKeyes, who shares her love for granola, greek yogurt and berries ...

What do you think – rate or slate?

Listen wherever you get your podcasts 🎧 

https://t.co/HYsdD39wou https://t.co/Cout9JpVmz",18,3,@guardian,1543142435609460737
36,2022-07-02 07:50:51+00:00,There are good reasons for a double shampoo – if you can avoid waste https://t.co/Idh3t6g4I3,32,3,@guardian,1543140130638233600
37,2022-07-02 07:45:00+00:00,"Find out everything there is to know about Europe's greatest with our Women's Euro 2022 guide, featuring team breakdowns plus a full table of fixtures and previews from our pantheon of women's football writers. 

Only with the Guardian today. https://t.co/Zmh0zrJq8r",19,7,@guardian,1543138655685857280
38,2022-07-02 07:42:11+00:00,Reaching Euro 2022 a game changer for Northern Ireland and Rachel Furness https://t.co/4YmQSRrgEx,18,3,@guardian,1543137949763731456
39,2022-07-02 07:36:10+00:00,"Euro 2022 is here, and can be the living proof women’s football has arrived https://t.co/fOES5UafdB",28,8,@guardian,1543136432562257920
40,2022-07-02 07:36:09+00:00,Tom Gauld on Death’s day out – cartoon https://t.co/CTp1pauuBz,30,4,@guardian,1543136427575332865
41,2022-07-02 07:31:27+00:00,How to turn pasta scraps into a comfort-food bake | Waste not https://t.co/r7SfoUwilK,26,3,@guardian,1543135246937473024
42,2022-07-02 07:08:34+00:00,New Zealand v Ireland: first rugby union Test – live! https://t.co/JMKf9DLqGF,24,2,@guardian,1543129488036331525
43,2022-07-02 07:05:43+00:00,‘She had no fear’: friends and family to tread last walk of Zara Aleena https://t.co/2jdOC9S9l0,87,21,@guardian,1543128771380772864
44,2022-07-02 07:03:32+00:00,EU’s electric vehicle drive leaves supercars at the back of the grid https://t.co/jt9GZzo7Jx,53,11,@guardian,1543128219670511618
45,2022-07-02 06:56:01+00:00,Russia-Ukraine war: explosions rock city of Mykolaiv – latest updates https://t.co/scpiT8j1h9,36,19,@guardian,1543126328966352897
46,2022-07-02 06:46:23+00:00,Wimbledon accused of sacking temporary staff for ‘bizarre’ reasons https://t.co/CwvklwAk26,31,12,@guardian,1543123904855695361
47,2022-07-02 06:13:49+00:00,Three police die in Kentucky shooting while serving domestic violence warrant https://t.co/8Ha1h9Vw8g,59,20,@guardian,1543115707801559041
48,2022-07-02 06:03:22+00:00,"More UK households are turning to high-cost lenders, says charity https://t.co/3ORPEF7EeQ",29,8,@guardian,1543113077889138688
49,2022-07-02 05:36:37+00:00,"Weekend podcast: Marina Hyde, calling the cops on jokes, and the end of shampoo https://t.co/bN1s9jSX47",20,3,@guardian,1543106349382377472
50,2022-07-02 04:45:39+00:00,Adele review – a truly singular blend of talent and Tottenham charm https://t.co/F9GrGTgUmi,197,25,@guardian,1543093520684269569
51,2022-07-02 04:36:23+00:00,‘I was crying’: rocker Randy Bachman reunites with stolen guitar 45 years later https://t.co/CTTEU1aqrY,113,20,@guardian,1543091190836482050
52,2022-07-02 04:26:11+00:00,Deborah James legacy: huge rise in online checks for bowel cancer signs https://t.co/siQQ1BSmuu,72,14,@guardian,1543088621795917824
