	created_at	full_text	favorite_count	retweet_count	account_name	id
0	2022-07-01 15:44:55+00:00	Mohamed Salah commits future to Liverpool by signing contract to 2025 https://t.co/emu5jpsHol	29	4	@guardiannews	1542897041847844865
1	2022-07-01 15:36:26+00:00	Met police officers fired after sharing racist joke about Meghan https://t.co/gI6ZwWWVKg	36	11	@guardiannews	1542894910143139840
2	2022-07-01 15:25:51+00:00	More than 1,500 refugees invited to Wimbledon for centenary event https://t.co/qcQxRvALGI	27	7	@guardiannews	1542892244327452673
3	2022-07-01 15:16:45+00:00	Tour de France 2022: stage one opens race with Copenhagen time trial – live! https://t.co/deomjEoflh	6	1	@guardiannews	1542889957056024583
4	2022-07-01 15:05:34+00:00	Wimbledon 2022: Djokovic and Kerber in action, Watson and Jabeur through – live! https://t.co/zqSuEZqiMC	6	3	@guardiannews	1542887141163794432
5	2022-07-01 14:54:47+00:00	‘Truth matters’: Liz Cheney lambasts Trump-backed rival in Wyoming debate https://t.co/UcEisiePb9	28	6	@guardiannews	1542884428845924354
6	2022-07-01 14:46:14+00:00	A citrus Mini and happy couples: Friday’s best photos https://t.co/deuRqVyVxH	10	6	@guardiannews	1542882277125984257
7	2022-07-01 14:32:33+00:00	Australia and France seek 'new start' in relations as Albanese visits Macron – video https://t.co/CQnAmACMWS	9	4	@guardiannews	1542878832285388801
8	2022-07-01 14:21:12+00:00	Albanese arrives in France to heal rift with Emmanuel Macron https://t.co/5XmgOBxlP5	12	5	@guardiannews	1542875977088385025
9	2022-07-01 14:12:02+00:00	Woman, 71, gored by bison in third Yellowstone incident this year https://t.co/FHNlmWAkue	11	5	@guardiannews	1542873666735726594
10	2022-07-01 14:04:22+00:00	Drone footage shows aftermath of Russian missile strikes on Odesa – video https://t.co/4zxH6t7BTj	6	7	@guardiannews	1542871737318113281
11	2022-07-01 13:56:24+00:00	Utah Republican apologises for saying women can control ‘intake of semen’ https://t.co/1swNlSVWCY	11	9	@guardiannews	1542869733220966401
12	2022-07-01 13:48:29+00:00	Scandal after scandal: timeline of Tory sleaze under Boris Johnson https://t.co/2W2DgUn4Z3	26	23	@guardiannews	1542867741014740992
13	2022-07-01 13:40:43+00:00	Protests grow in fight to reclaim Italy’s beaches from private clubs https://t.co/f99xYlmu9B	25	9	@guardiannews	1542865789417562121
14	2022-07-01 13:32:18+00:00	Ezra Miller: ‘chokehold’ accuser breaks silence as another woman claims ‘harassment’ https://t.co/gsNSO58PsJ	6	3	@guardiannews	1542863668051939330
15	2022-07-01 13:24:35+00:00	Wildfires rage close to Machu Picchu archaeological site – video https://t.co/QKr7zYpvPM	11	6	@guardiannews	1542861726500126720
16	2022-07-01 13:18:16+00:00	DP World Tour chief hits back at LIV Golf players over threat of legal action https://t.co/1FxXBA3YxN	4	1	@guardiannews	1542860137572048902
17	2022-07-01 13:10:25+00:00	‘Napalm girl’ Phan Thi Kim Phuc receives final burn treatment after 50 years https://t.co/ilPmmY0UlC	60	13	@guardiannews	1542858164177174530
18	2022-07-01 13:00:51+00:00	Rare sighting of common octopus captured on camera off Cornish coast – video https://t.co/hJftwOv1E3	19	4	@guardiannews	1542855755392581633
19	2022-07-01 12:52:02+00:00	Singapore craft beer uses recycled sewage to highlight water scarcity https://t.co/fWDMSWkBhz	21	4	@guardiannews	1542853536228298753
20	2022-07-01 12:45:32+00:00	Amazon and BBC break BT stranglehold on Champions League football https://t.co/SE40CQ5rH2	11	6	@guardiannews	1542851901464760321
21	2022-07-01 12:33:38+00:00	Moscow forcing teachers in Ukraine to sign up to Russian curriculum https://t.co/03bgZaVtfQ	23	23	@guardiannews	1542848904269643778
22	2022-07-01 12:25:10+00:00	Government urged to back £350m fund to revive UK high streets https://t.co/RJ8veNotgL	7	5	@guardiannews	1542846774334849025
23	2022-07-01 12:12:41+00:00	Shell may have to abandon £3bn stake in Russian gas plant https://t.co/9Z2bQ3iTxH	16	9	@guardiannews	1542843634424446977
24	2022-07-01 11:59:54+00:00	Labour will never strike deal with SNP, Keir Starmer to pledge https://t.co/357kxdx8EK	5	5	@guardiannews	1542840415199567872
25	2022-07-01 11:50:44+00:00	Tesla hit by new lawsuit alleging racial abuse https://t.co/JOE2oUaqfz	11	9	@guardiannews	1542838110098161666
26	2022-07-01 11:42:45+00:00	EU flag hoisted in Ukraine's parliament – video https://t.co/u8xPTCK8kY	43	11	@guardiannews	1542836099680182273
27	2022-07-01 11:31:13+00:00	UK government ‘undemocratic’ over Northern Ireland protocol, says Varadkar https://t.co/3SwkWMVerq	15	5	@guardiannews	1542833198530408448
28	2022-07-01 11:19:01+00:00	‘Not again!’: BBC journalist Frank Gardner left stuck on plane at Gatwick https://t.co/6psJPwyvXC	25	8	@guardiannews	1542830129000452097
29	2022-07-01 11:07:33+00:00	Tory donors behind Betfred pay themselves and family £50m dividend https://t.co/D7fcGz6THR	10	13	@guardiannews	1542827242505605121
30	2022-07-01 10:55:25+00:00	Mark Meadows’ associate threatened ex-White House aide | First Thing https://t.co/USrau4fuB1	13	10	@guardiannews	1542824189459062787
31	2022-07-01 10:45:05+00:00	‘It will always have value’: readers on whether English lit is worthwhile https://t.co/8EOarS72sr	23	7	@guardiannews	1542821586453012480
32	2022-07-01 10:33:15+00:00	Thanks to state courts, abortions can resume in four US states. For now https://t.co/cI5YVUuo8O	22	3	@guardiannews	1542818608694411266
33	2022-07-01 10:21:00+00:00	Salmonella halts production at world’s biggest chocolate factory https://t.co/mvR9Z8emKt	12	4	@guardiannews	1542815526925344768
34	2022-07-01 10:08:06+00:00	Germany’s move to legalise cannabis expected to create ‘domino effect’ https://t.co/QlrWLhAX1p	45	7	@guardiannews	1542812280194310145
35	2022-07-01 09:37:35+00:00	Tories pressed to withdraw whip from Chris Pincher after misconduct claims https://t.co/UqXzqWfSaF	17	7	@guardiannews	1542804602910826499
36	2022-07-01 09:24:02+00:00	Palestinian Authority routinely tortures detainees, says rights group https://t.co/e75Lq3hq9M	18	2	@guardiannews	1542801189930246144
37	2022-07-01 09:18:38+00:00	England v India: fifth Test, day one – live! https://t.co/5iCOwngXF3	5	3	@guardiannews	1542799832770805761
38	2022-07-01 09:04:51+00:00	Boris Johnson rejects idea that Ukraine conflict is about ‘Russia vs Nato’ – UK politics live https://t.co/wYA8kKw8N7	7	5	@guardiannews	1542796364031168513
39	2022-07-01 08:33:56+00:00	Tottenham confirm Richarlison signing in £60m deal with Everton https://t.co/O9Sfpg0RFe	15	5	@guardiannews	1542788584171835394
40	2022-07-01 08:30:17+00:00	AI-powered technology will be used to speed up VAR offside calls at World Cup https://t.co/4ehre75c3k	6	5	@guardiannews	1542787663341797377
41	2022-07-01 08:23:47+00:00	UK cost of living crisis putting strain on domestic abuse refuges, says charity https://t.co/hmkd6Cnc1g	10	9	@guardiannews	1542786027143811072
42	2022-07-01 08:14:16+00:00	Western Australia’s EPA urges 50-year extension of country’s most polluting gas project https://t.co/vyZiE9VFv7	6	5	@guardiannews	1542783634687533056
43	2022-07-01 08:05:38+00:00	Bulb boss Hayden Wood to step down from collapsed energy firm https://t.co/lzaWYhTVy2	6	2	@guardiannews	1542781459936722944
44	2022-07-01 07:58:42+00:00	Factory slowdown fuels global recession fears as markets reel from $13tn tumble – business live https://t.co/JbzHUsrhLj	8	6	@guardiannews	1542779718440816641
45	2022-07-01 07:49:52+00:00	Weather tracker: Japan’s rainy season ends early amid heatwave https://t.co/VYsPTEprPs	6	6	@guardiannews	1542777494855639041
46	2022-07-01 07:38:04+00:00	Chess: England win three world titles while Ian Nepomniachtchi nears victory https://t.co/lNrKhoqi73	10	3	@guardiannews	1542774525267410945
47	2022-07-01 07:26:55+00:00	Australian spinners rip through Sri Lanka to wrap up first Test inside three days https://t.co/mfp1VyS5YS	7	5	@guardiannews	1542771719076724738
48	2022-07-01 07:17:29+00:00	EU moves to rein in ‘wild west’ of crypto assets with new rules https://t.co/VDh8arIdaT	9	6	@guardiannews	1542769342214987776
49	2022-07-01 06:48:32+00:00	US travel chaos unlikely to improve as Fourth of July looms, experts say https://t.co/ClgcbqSIGX	9	3	@guardiannews	1542762059024269312
50	2022-07-01 06:35:58+00:00	Afghan embassy staff remain in hiding despite being eligible for UK relocation https://t.co/UJiatQY6pY	11	5	@guardiannews	1542758895042584576
51	2022-07-01 06:28:33+00:00	‘Talk with us, not for us’: fishing communities accuse UN of ignoring their voices https://t.co/eScnZ8rOYP	9	2	@guardiannews	1542757031240732673
52	2022-07-01 06:18:28+00:00	Starmer allies reject claims leftwingers blocked from standing for Labour https://t.co/ELVS1QuH3G	12	3	@guardiannews	1542754490352390144
53	2022-07-01 06:11:59+00:00	Explosive testimony piles pressure on Trump – how likely are criminal charges? https://t.co/zWm8qziTiU	33	10	@guardiannews	1542752860265398272
54	2022-07-01 06:02:54+00:00	UK energy supplier customer service plunges to new low, survey finds https://t.co/GgWAmt2Dmn	8	2	@guardiannews	1542750575166644224
55	2022-07-01 05:56:35+00:00	Disco dudes and giant spoons: UK’s outdoor public sculptures are documented https://t.co/5Ks5lFJ1oC	7	2	@guardiannews	1542748982866231296
56	2022-07-01 05:44:00+00:00	Russia-Ukraine war: missile strikes kill 17 in Odesa; Zelenskiy hails ‘significant’ Snake Island victory – live https://t.co/hjfJfZ9mre	17	10	@guardiannews	1542745819941593088
57	2022-07-01 05:31:01+00:00	Brand new bang: Lake Tahoe resort scraps July 4 fireworks for drones https://t.co/aTkuUzvWxa	13	3	@guardiannews	1542742551937032193
58	2022-07-01 05:18:17+00:00	NSW weather: communities brace for flooding as heavy rainfall returns to state https://t.co/LYbktglJoZ	3	1	@guardiannews	1542739347757322241
59	2022-07-01 05:01:18+00:00	Anthony Albanese raises case of jailed Australian engineer Robert Pether with Iraqi PM https://t.co/Zs3UXCYYJn	5	0	@guardiannews	1542735071316246528
60	2022-07-01 04:51:05+00:00	Russian missile strikes on Odesa apartments and recreation centre kill 17, Ukraine says https://t.co/zHWKAtBDg8	23	18	@guardiannews	1542732502418219014
61	2022-07-01 04:32:09+00:00	Kiribati faces constitutional crisis after government suspends both high court justices https://t.co/ZYqLBl8Gmg	2	1	@guardiannews	1542727737433112576
62	2022-07-01 04:17:57+00:00	New Zealand declares US far-right Proud Boys and the Base terrorist groups https://t.co/ma9Fukt8yt	91	17	@guardiannews	1542724161348534272
63	2022-07-01 04:03:37+00:00	North Korea blames Covid-laden balloons sent from South for virus outbreak https://t.co/f6QcAIKtLr	27	11	@guardiannews	1542720554335182848
64	2022-07-01 03:50:29+00:00	Acting PM says government will stand up for national interest amid fading hopes of China reset https://t.co/zoGwAHSYSP	13	5	@guardiannews	1542717249827622912
65	2022-07-01 03:27:46+00:00	Landmark report calls for affirmative consent laws in Queensland https://t.co/F6cNf4GFdp	7	1	@guardiannews	1542711534639628291
66	2022-07-01 03:04:27+00:00	How the ABC bid farewell to ‘famously unflappable’ 7.30 host Leigh Sales https://t.co/YJNgg4FHqO	6	0	@guardiannews	1542705666787348481
67	2022-07-01 02:34:55+00:00	Russia-Ukraine war: what we know on day 128 of the invasion https://t.co/PObZEfRYBE	14	6	@guardiannews	1542698231989141505
68	2022-07-01 02:22:25+00:00	Queensland plastics ban: balloon releases and disposable coffee cups targeted https://t.co/S5lUynQ7tR	28	8	@guardiannews	1542695089562157057
69	2022-07-01 01:24:59+00:00	California passes first sweeping US law to reduce single-use plastic https://t.co/Y5Nw5zuyhK	33	10	@guardiannews	1542680635726241798
70	2022-07-01 01:09:57+00:00	We were too lenient on pro-democracy politicians, says senior Hong Kong legislator Regina Ip https://t.co/QmHDLp8hki	3	6	@guardiannews	1542676849087713283
71	2022-07-01 00:45:46+00:00	‘Long way to go’ in Sydney rail fight, as train delays disrupt commuters https://t.co/joUvx2bBfi	3	0	@guardiannews	1542670766398914562
72	2022-07-01 00:33:41+00:00	Hong Kong: UK and US criticise erosion of rights and freedoms 25 years since handover https://t.co/1ArFLoH9ay	65	57	@guardiannews	1542667724085764098
73	2022-07-01 00:21:32+00:00	Breastfeeding improves cognitive ability for children of poorer mothers – study https://t.co/sVCZEaBuU3	29	7	@guardiannews	1542664665125249029
74	2022-07-01 00:07:35+00:00	Australian house prices fall for second month as interest rates rise https://t.co/v4KdJ0RVyE	6	2	@guardiannews	1542661155381977088
75	2022-06-30 23:50:21+00:00	Fuel-poor homes face taking £250 energy hit due to poor insulation https://t.co/7MAbhyFDcd	3	3	@guardiannews	1542656820736671746
76	2022-06-30 23:38:33+00:00	Peru wildfire threatens Machu Picchu as remote location hampers efforts to control blaze https://t.co/FBqD4m14wr	14	12	@guardiannews	1542653849298665473
77	2022-06-30 23:25:46+00:00	Knight rues rain for denying England charge for victory over South Africa https://t.co/NLscYf4I8u	5	2	@guardiannews	1542650632972238849
78	2022-06-30 23:12:52+00:00	‘My biggest win’: Broady edges five-set thriller but Draper knocked out https://t.co/VGf0LXxQVV	4	2	@guardiannews	1542647385540665344
79	2022-06-30 22:58:29+00:00	Katie Boulter dedicates ‘special’ Wimbledon win to late grandmother https://t.co/dLJzLQ1sU1	7	1	@guardiannews	1542643764396793857
80	2022-06-30 22:45:42+00:00	Christmas in July: top things to do to escape Australia’s winter blues https://t.co/t2GUY7r8lO	3	1	@guardiannews	1542640549781454849
81	2022-06-30 22:33:20+00:00	Australia’s bushfire season has grown by almost a month in 40 years, study finds https://t.co/1GUCJ5Em5L	16	14	@guardiannews	1542637435124940801
82	2022-06-30 22:23:32+00:00	'You cannot be loyal to both Trump and constitution,' says Liz Cheney – video https://t.co/2nbcHczc6U	64	8	@guardiannews	1542634972623814656
83	2022-06-30 22:09:54+00:00	Lost in space: returned astronauts struggle to recover bone density, study finds https://t.co/wE4oRP0lk4	12	5	@guardiannews	1542631541712601089
84	2022-06-30 21:59:45+00:00	US woman suspected in fatal shooting of elite cyclist arrested in Costa Rica https://t.co/Z3jValsa30	8	1	@guardiannews	1542628985334648839
85	2022-06-30 21:48:16+00:00	Joe Biden says he supports overriding filibuster to protect abortion rights – video https://t.co/YF9Ht55eXm	26	6	@guardiannews	1542626095530479619
86	2022-06-30 21:36:52+00:00	ICC issues warrants for 2008 Russia-Georgia war crimes suspects https://t.co/MKLcwPsYhJ	11	11	@guardiannews	1542623225657573377
87	2022-06-30 21:25:14+00:00	South Australian Liberal leader and state MPs to ‘mentor’ young people at anti-abortion event https://t.co/BOXDPe7KHI	2	1	@guardiannews	1542620299535040513
88	2022-06-30 21:13:56+00:00	Erdoğan warns Turkey could still block Finland and Sweden’s accession to Nato https://t.co/konUsRKNc0	15	6	@guardiannews	1542617456900034562
