	created_at	full_text	favorite_count	retweet_count	account_name	id
0	2022-06-30 21:52:39+00:00	"@BarackObama The real greater treath was #PutinWarCriminal in #Syria under your #POTUS 
Your ""no bomb "" in 2014 all… https://t.co/MigMwUjMT9"	0	0	Anzeta	1542627200901464065
1	2022-06-30 21:50:12+00:00	That's because of the #TrumpInflation caused by #COVID and #RussianUkrainianWar which he facilitated by his accommo… https://t.co/48JI24nyrj	0	0	Leland Maxwell	1542626580991774720
2	2022-06-30 21:42:29+00:00	@Telegraph He could have a point, but beauty comes from the inside #PutinWarCriminal	0	0	David	1542624641575190528
3	2022-06-30 21:39:50+00:00	"Soon China will invade Russia and no one will help.

#RussianRevolution2022 #ChinaRussia #BoycottChina… https://t.co/aOcElmfOmb"	1	1	DIYPOTUS	1542623974424731649
4	2022-06-30 21:36:00+00:00	"""Live Free or Die"" as they say in New Hampshire. Calls for Putin's public execution grow stronger in within Kremlin… https://t.co/0KX3jSNCkb"	0	0	DIYPOTUS	1542623010544287747
5	2022-06-30 21:33:19+00:00	RT @WarAgainstPutin: #Russia is a terrorist state and #Putin is new Hitler. Please, share. #RussiaTerroristState #PutinWarCriminal @POTU @E…	0	144	Julie Cameltoe	1542622333881520134
6	2022-06-30 21:32:09+00:00	@RepSwalwell Seems like a fitting fate for #PutinWarCriminal	0	0	cognizant canuck	1542622039776845825
7	2022-06-30 21:30:30+00:00	"The loneliest man in the world💀
It's dangerous with people! That's probably what the little cowardly, paranoid man… https://t.co/nNk6RzwiYz"	4	0	lamatzi 🇸🇪🇺🇦🌻	1542621623806722050
8	2022-06-30 21:30:20+00:00	RT @ActionTime: Please #Retweet to SUPPORT &amp; Help Ukraine Until #Ukraine's Winning DECISIVELY #StopRussiaNow #russiaisaTeroristState #Russi…	0	17	Create Signs of Democracy	1542621581561589761
9	2022-06-30 21:29:56+00:00	Compare the G7 summit (9 people at the table) and the Caspian summit with #Putin (5 people at the table)… https://t.co/9kikjrLQuQ	1	0	Luigi Gargano 🇮🇹	1542621481389019136
10	2022-06-30 21:29:08+00:00	"RT @BlogUkraine: #127dayofwar

⚡ Sanctions against Moscow may be seen as an act of aggression and a justification for war - Dmitry Medvedev…"	0	7	Scott Podvin	1542621282692468742
11	2022-06-30 21:29:06+00:00	@NatashaBertrand Russia does nothing out of good will. #PutinWarCriminal #BuchaMassacre #ArmUkraineNow	0	0	J Bedford	1542621271006949376
12	2022-06-30 21:24:34+00:00	"RT @BlogUkraine: #127dayofwar

⚡️President of Ukraine Volodymyr Zelenskyy (@ZelenskyyUa) address on the 127th day of full-scale war⚡️

🔗Lin…"	0	6	Rina Ray	1542620129976094726
13	2022-06-30 21:22:42+00:00	"RT @BlogUkraine: #127dayofwar

⚡ ""We’re going to send two additional F-35 squadrons to the #UK"" - Joe Biden (@POTUS) ⚡

🔗Source: https://t.…"	0	5	aria ghajar	1542619660167831557
14	2022-06-30 21:22:34+00:00	"RT @BlogUkraine: #127dayofwar

⚡️President of Ukraine Volodymyr Zelenskyy (@ZelenskyyUa) address on the 127th day of full-scale war⚡️

🔗Lin…"	0	6	Stand with Ukraine! amid the tumult🌻	1542619626483245056
15	2022-06-30 21:20:47+00:00	"RT @BlogUkraine: #127dayofwar

⚡️President of Ukraine Volodymyr Zelenskyy (@ZelenskyyUa) address on the 127th day of full-scale war⚡️

🔗Lin…"	0	6	#GunViolence 2022 ytd: 22,157 Dead #gunReformNow	1542619178649079809
16	2022-06-30 21:20:33+00:00	"RT @BlogUkraine: #127dayofwar

⚡️President of Ukraine Volodymyr Zelenskyy (@ZelenskyyUa) address on the 127th day of full-scale war⚡️

🔗Lin…"	0	6	Create Signs of Democracy	1542619118594977792
17	2022-06-30 21:20:20+00:00	#PutinWarCriminal #Russia #RussiaIsATerroristState @mod_russia @KremlinRussia #Kremlin Putin, just do it! #JUSTDOIT https://t.co/ss4x4gjrSr	1	0	Andy Brigthman 🇺🇦🇨🇦	1542619066673807362
18	2022-06-30 21:17:54+00:00	"RT @BlogUkraine: #127dayofwar

⚡ Sanctions against Moscow may be seen as an act of aggression and a justification for war - Dmitry Medvedev…"	0	7	aria ghajar	1542618455593156612
19	2022-06-30 21:17:15+00:00	"#Ukraine NOW It starts:
The European Court of Human Rights upheld Ukraine’s case against Russia
The case was preced… https://t.co/qZQRoVTqyU"	2	0	Luigi Gargano 🇮🇹	1542618290463334402
20	2022-06-30 21:14:15+00:00	#PutinWarCriminal why isn't #NATO getting him done for war crimes. #WarCrimes scared of the big red button. #playhisgame it's all hot air	3	1	Philios	1542617534515511303
21	2022-06-30 21:13:11+00:00	"@ElPolloLoco ""no longer carries black beans."" (?) Awesome, Im stuck with shitty pinto beans now? THANKS PUTIN… https://t.co/hKnkIDPq9j"	0	0	Norman_D_Invasion	1542617266197409793
22	2022-06-30 21:11:43+00:00	"@nexta_tv WTF 
Does Putin mean by 
Sovereign equality' ??? 🤔

 invading more Sovereign countries ??
😡😡😡😡

#PutinWarCriminal"	0	0	Mel Roberts	1542616896310333440
23	2022-06-30 21:09:43+00:00	"RT @BlogUkraine: #128dayofwar

‼️Explosions in #Kharkiv‼️

#UkraineWar #war #StandWithUkraine #UkraineRussiaWar #Ukraine #PutinWarCriminal…"	0	2	Create Signs of Democracy	1542616393538891776
24	2022-06-30 21:09:22+00:00	#Putin the scary reservist was once again very afraid, this time afraid that the naked G7 would have been a disgust… https://t.co/qFNcVyGYqi	0	0	DieZeitMagKommen	1542616306700222469
25	2022-06-30 21:07:37+00:00	"@avalaina Poor Sasha 
Hope she will get out and be free soon 
Syrians know this agony first hand as 150,000 of them… https://t.co/YaEN4iARlx"	0	0	Livehighpeace	1542615866549981184
26	2022-06-30 21:07:16+00:00	"RT @BlogUkraine: #127dayofwar

⚡ Ukraine has begun exporting electricity to the European Union - Denys Shmyhal, Prime Minister of Ukraine ⚡…"	0	7	Adrian Woronecki 🇺🇦🕊🙏	1542615779136471042
27	2022-06-30 21:05:21+00:00	"#128dayofwar

‼️Explosions in #Kharkiv‼️

#UkraineWar #war #StandWithUkraine #UkraineRussiaWar #Ukraine… https://t.co/SOPer0WT0C"	9	2	Blog about the war for free Ukraine 🇺🇦	1542615296892182528
28	2022-06-30 20:59:40+00:00	RT @WarAgainstPutin: Russian Nazis just destroyed an apartment building in Mykolaiv, Ukraine. Multiple casualties.  #PutinWarCriminal #Russ…	0	51	igeus	1542613863622795264
29	2022-06-30 20:59:23+00:00	RT @WarAgainstPutin: Russian Nazis keep carpet-bombing Ukrainian cities. Why terrorist state Russia is still a member of the UN Security Co…	0	38	igeus	1542613792244113409
30	2022-06-30 20:57:27+00:00	RT @WarAgainstPutin: Awesome, official Russian TV filmed today a big fire on military plant in Moscow that was visible from Kremlin. Very s…	0	213	Hans de Capétiens	1542613306350903296
31	2022-06-30 20:57:00+00:00	"#127dayofwar

⚡️President of Ukraine Volodymyr Zelenskyy (@ZelenskyyUa) address on the 127th day of full-scale war… https://t.co/90ftNk5WkW"	16	6	Blog about the war for free Ukraine 🇺🇦	1542613192907554816
32	2022-06-30 20:56:51+00:00	RT @WarAgainstPutin: The footage showing the moment Russian ballistic missile hits an apartment building in Mykolaiv. Many dead and wounded…	0	54	igeus	1542613157746618368
33	2022-06-30 20:56:06+00:00	"RT @BlogUkraine: #127dayofwar

⚡ But,18 march, Sergey Lavrov, Minister of Foreign Affairs, said,Western sanctions against Russia only make…"	0	5	Gawiin	1542612965534404614
34	2022-06-30 20:56:04+00:00	"RT @BlogUkraine: #127dayofwar

⚡ Sanctions against Moscow may be seen as an act of aggression and a justification for war - Dmitry Medvedev…"	0	7	Beata Kowalczyk #SilniRazem	1542612961101074432
35	2022-06-30 20:54:43+00:00	"RT @BlogUkraine: #127dayofwar

⚡ ""We’re going to send two additional F-35 squadrons to the #UK"" - Joe Biden (@POTUS) ⚡

🔗Source: https://t.…"	0	5	Joachim Nickenig	1542612617725968386
36	2022-06-30 20:54:26+00:00	RT @WarAgainstPutin: Awesome, official Russian TV filmed today a big fire on military plant in Moscow that was visible from Kremlin. Very s…	0	213	igeus	1542612548230340608
37	2022-06-30 20:53:38+00:00	"#127dayofwar

⚡ ""We’re going to send two additional F-35 squadrons to the #UK"" - Joe Biden (@POTUS) ⚡

🔗Source:… https://t.co/mfVP4wEXMl"	16	5	Blog about the war for free Ukraine 🇺🇦	1542612348610936832
38	2022-06-30 20:52:32+00:00	"RT @BlogUkraine: #127dayofwar

⚡ But,18 march, Sergey Lavrov, Minister of Foreign Affairs, said,Western sanctions against Russia only make…"	0	5	Ralf Siegel 🇺🇦🇩🇪🇺🇸🇪🇺🟢💉💉💉😷🐈‍⬛🎸🍑	1542612071275282435
39	2022-06-30 20:52:27+00:00	RT @WarAgainstPutin: Awesome, official Russian TV filmed today a big fire on military plant in Moscow that was visible from Kremlin. Very s…	0	213	Maria S. Benfica🇵🇹🇺🇦	1542612047044780039
40	2022-06-30 20:51:29+00:00	The real problem with #Putin is that he as sufferer from dyscalculia didn't know about(and thus couldn't succesfull… https://t.co/sHyopZzdYv	0	0	DieZeitMagKommen	1542611805494722560
41	2022-06-30 20:49:33+00:00	"RT @BlogUkraine: #127dayofwar

⚡ Sanctions against Moscow may be seen as an act of aggression and a justification for war - Dmitry Medvedev…"	0	7	Jere Borner	1542611320679407616
42	2022-06-30 20:49:03+00:00	"I SUPPORT UKRAINE 🇺🇦

STOP THE WAR

#SlavaUkraini #StopRussia #StopPutin #PutinWarCriminal #NFT #NFTCommunity… https://t.co/ZMJdbHqsg8"	0	1	ʀick ᴡᴇᴢenaar 🏳️‍🌈 // henpai //	1542611192358789121
43	2022-06-30 20:48:42+00:00	I’m starting to think it’s ridiculous that these young qualifiers and players low in the rankings get no points for… https://t.co/6P3CVo6Yem	0	0	Brett Aronow	1542611107021524992
44	2022-06-30 20:48:35+00:00	"RT @BlogUkraine: #127dayofwar

⚡ Sanctions against Moscow may be seen as an act of aggression and a justification for war - Dmitry Medvedev…"	0	7	🇵🇹tonymor_dance_oficial	1542611077594243073
45	2022-06-30 20:46:46+00:00	"RT @BlogUkraine: #127dayofwar

⚡ But,18 march, Sergey Lavrov, Minister of Foreign Affairs, said,Western sanctions against Russia only make…"	0	5	jimezz66 #StandWithUkraine 🇺🇸 🇺🇦	1542610616946282496
46	2022-06-30 20:45:08+00:00	RT @toryboypierce: US basing troops in #poland, Sweden &amp; Finland to join #NATO. How #PutinWarCriminal got things so badly wrong	0	16	Patricia	1542610209557954562
47	2022-06-30 20:43:58+00:00	RT @WarAgainstPutin: Awesome, official Russian TV filmed today a big fire on military plant in Moscow that was visible from Kremlin. Very s…	0	213	Andrew Simpson 🇺🇦	1542609913494573058
48	2022-06-30 20:43:37+00:00	"RT @BlogUkraine: #127dayofwar

⚡ Ukraine has begun exporting electricity to the European Union - Denys Shmyhal, Prime Minister of Ukraine ⚡…"	0	7	🇵🇹tonymor_dance_oficial	1542609825552650242
49	2022-06-30 20:43:08+00:00	"#127dayofwar

⚡ But,18 march, Sergey Lavrov, Minister of Foreign Affairs, said,Western sanctions against Russia onl… https://t.co/QUxMTwb2rl"	17	5	Blog about the war for free Ukraine 🇺🇦	1542609705037602824
