	created_at	full_text	favorite_count	retweet_count	account_name	id
0	2022-06-30 22:17:56+00:00	"RT @by_by_duck: this little girl was asleep.
she had a dream.
now she sleeps forever.
because russia has other plans. 
#RussiaIsATerroristS…"	0	49	🦚⊹𑁍🅂🄴🄽🅂🄸𑁍⊹🪴	1542633562653982722
1	2022-06-30 22:16:52+00:00	RT @mhmck: Earlier today Russia launched a missile at a shopping mall in Kremenchuk, Poltava region, Ukraine – a deliberate attack to kill…	0	1314	Cesar Lopez	1542633293002293251
2	2022-06-30 22:16:04+00:00	"RT @walter_report: Armored column of Ukrainian defenders pushes through russian artillery fire, with shells landing around.
#RussiaInvadedU…"	0	43	Robbie Mee🇮🇪🇺🇦	1542633091054899201
3	2022-06-30 22:15:59+00:00	"invaders use torture to force employees of Zaporizhzhia Nuclear Power Plant to drain cooling pools

diver of hydrau… https://t.co/DyHCRSKQ9u"	0	0	Ine	1542633071815819264
4	2022-06-30 22:14:03+00:00	"RT @UntnblePosition: We've restarted the space. Join us!
#UKRAINE #RussiaInvadedUkraine #RussiaIsATerroristState #RussiaUkraineWar
#WalterR…"	0	3	30 mike-mike	1542632586119364609
5	2022-06-30 22:13:43+00:00	"RT @OlenaHalushka: A man gathers photos on the debris of his home destroyed by the russian missile strike in Mykolayiv.
#ArmUkraineNow #rus…"	0	368	Xiao Liwu	1542632498969993216
6	2022-06-30 22:12:22+00:00	#Russian invaders do not grant access to the UN humanitarian organizations in #Mariupol — UN Resident Coordinator a… https://t.co/aNk0GCA0rs	0	0	Ine	1542632162796912640
7	2022-06-30 22:12:07+00:00	"RT @yungboosie56: #Poltava region.  #Kremenchuk City.
The occupiers shelled the mall, where were more than a thousand civilians.   
#Russia…"	0	335	Michel Gomes	1542632096203694087
8	2022-06-30 22:11:00+00:00	@Flash43191300 Long lonely walk, or too afraid of being in close contact with “others”…or a Muslim to Muslim respec… https://t.co/WKceK9wfcQ	0	0	🇺🇦 La Vache Rouge 23 🇺🇦	1542631818482024451
9	2022-06-30 22:10:44+00:00	Russian Ministry of Defense acknowledged strike on Kremenchuk but stated that target of attack was military facilit… https://t.co/V7yAGhd2jI	0	0	Ine	1542631748429049857
10	2022-06-30 22:10:32+00:00	RT @smart_faces: @nexta_tv Well hey, guess what?, This CCTV footage which has been geolocated and verified clearly shows a x-22 cruise miss…	0	6	Pamela Ames	1542631697774149634
11	2022-06-30 22:09:37+00:00	"RT @walter_report: 🇺🇦Ukrainian BTR-3E IFV in the east of #Ukraine.

#RussiaInvadedUkraine #UkraineRussiaWar #RussiaIsATerroristState #Ukrai…"	0	10	Mykhailo Levko	1542631468714835973
12	2022-06-30 22:09:08+00:00	RT @walter_report: 🇺🇦Ukrainian 93rd Mechanized Brigade shells Russian invaders in Kharkiv oblast using improvised trucks/technicals with mu…	0	21	Mykhailo Levko	1542631347923083264
13	2022-06-30 22:09:01+00:00	"RT @walter_report: Russian invaders fled from Snake Island after getting swatted and obliterated by Ukrainian artillery.
That chapter of th…"	0	10	Mykhailo Levko	1542631317225050112
14	2022-06-30 22:08:09+00:00	"RT @walter_report: Armored column of Ukrainian defenders pushes through russian artillery fire, with shells landing around.
#RussiaInvadedU…"	0	43	Plant lady 🇦🇺🇺🇦🌻	1542631100177997824
15	2022-06-30 22:05:52+00:00	"#Russiaisaterroriststate 

do not buy russian!!!!!In 1980, due to the invasion of Afghanistan, the owner of the gas… https://t.co/Y9m4OvmEIu"	0	0	Hanna Mudryk	1542630523192983552
16	2022-06-30 22:05:04+00:00	RT @walter_report: 🇺🇦Ukrainian 93rd Mechanized Brigade shells Russian invaders in Kharkiv oblast using improvised trucks/technicals with mu…	0	21	🇺🇦Putin must go. Russia must pay.🇺🇦	1542630322868785154
17	2022-06-30 22:04:30+00:00	"When the world's leaders start to deal with terrorists like it suppose to? 
#RussiaIsATerroristState 

Make it Offi… https://t.co/w4vRXk6Yvu"	1	0	Oksana Bezkrovna	1542630179431976961
18	2022-06-30 22:04:00+00:00	"RT @walter_report: Armored column of Ukrainian defenders pushes through russian artillery fire, with shells landing around.
#RussiaInvadedU…"	0	43	Mykhailo Levko	1542630055821590528
19	2022-06-30 22:02:32+00:00	"The world through the eyes of #Ukrainians 

That’s what #Russia made it like
#RussiaIsATerroristState… https://t.co/Im5RMXxw57"	0	0	Ine	1542629685183782912
20	2022-06-30 22:01:53+00:00	There is no safe place anywhere in Ukraine.  Even if you have left the zone of active warfare, you cannot be safe.… https://t.co/hN4WOcqbpZ	0	0	Olena	1542629523509985285
21	2022-06-30 22:01:53+00:00	"RT @yungboosie56: Russia is a terrorist country that wants to blackmail the world
Everyone must unite to stop it now

#russiaisaterroristst…"	0	363	David gadelha1	1542629520951447554
22	2022-06-30 22:01:43+00:00	"Who keeps dredging up Stalin?

Mr. KGB Apparatchik.

#UkraineRussiaWar #Anonymous #FckPutin #StandWithUkraine… https://t.co/EaGjcDTPJY"	0	0	Boomersaurus	1542629480128282625
23	2022-06-30 21:59:09+00:00	"RT @Gerashchenko_en: For the last week, Russia intensified the launch of missiles terrorizing people around Ukraine. 

🚀 Kyiv, Kharkiv, Kre…"	0	112	Jörg Brinkmann	1542628834205466625
24	2022-06-30 21:59:07+00:00	"NATO Is More United After Russia Invaded Ukraine, Joe Biden Says

https://t.co/gZDHYzxnPr

#Russia… https://t.co/FdHlpRvHh7"	1	0	Koala Does Everything	1542628826403971072
25	2022-06-30 21:58:38+00:00	"RT @JapanUkraineLUV: missile attack in Mykolaiv

June 30, six people are known to have been killed — State Emergency Service of #Ukraine…"	0	1	Eng.Nemo	1542628705268277252
26	2022-06-30 21:58:17+00:00	"RT @walter_report: Armored column of Ukrainian defenders pushes through russian artillery fire, with shells landing around.
#RussiaInvadedU…"	0	43	russiamustfail	1542628618332938244
27	2022-06-30 21:58:04+00:00	RT @WarAgainstPutin: Awesome, official Russian TV filmed today a big fire on military plant in Moscow that was visible from Kremlin. Very s…	0	209	Pamela Ames	1542628563165118464
28	2022-06-30 21:57:38+00:00	"RT @uacrisis: 36 people remain missing, 18 people were killed, and about 60 people were injured.
Recall that on June 27 the Russian militar…"	0	7	Geert Jan Hahn	1542628454381780993
29	2022-06-30 21:57:03+00:00	RT @ResistUA: 🇫🇷🤝🇺🇦 Yesterday, a rally in support of #Ukraine was held in #Paris. We appreciate everyone who continues #ActForUkraine - you…	0	16	Hummer014	1542628305261797376
30	2022-06-30 21:57:00+00:00	"#128dayofwar

⚡ #Canada will supply Ukraine with 39 armored vehicles - Justin Trudeau (@JustinTrudeau), Canadian Pr… https://t.co/d0KSR8wa0r"	22	3	Blog about the war for free Ukraine 🇺🇦	1542628292666298372
31	2022-06-30 21:56:56+00:00	"RT @OlenaHalushka: A man gathers photos on the debris of his home destroyed by the russian missile strike in Mykolayiv.
#ArmUkraineNow #rus…"	0	368	HHAnni	1542628277503901696
32	2022-06-30 21:54:14+00:00	"missile attack in Mykolaiv

June 30, six people are known to have been killed — State Emergency Service of #Ukraine… https://t.co/awVS0dg2qk"	0	1	Ine	1542627595585724416
33	2022-06-30 21:52:42+00:00	"RT @walter_report: #Ukraine won the battle for the north-west of The Black Sea.

With Russians fleeing from Snake Island, this chapter of w…"	0	16	Mykhailo Levko	1542627210112208897
34	2022-06-30 21:52:01+00:00	"Forced passportization of Kherson residents accelerates - Regional Council
 Russians use deception and blackmail to… https://t.co/oBU1ulIUwT"	0	1	Ine	1542627041283309568
35	2022-06-30 21:51:25+00:00	RT @Gerashchenko_en: President of Ukraine @ZelenskyyUa just published shots of an X-22 cruise missile striking a shopping center in #Kremen…	0	2729	Laszlo.K	1542626886823591938
36	2022-06-30 21:51:15+00:00	"Please retweet to save the defenders of #Azovstal and #Mariupol 🙏🇺🇦
We have heard nothing of them for one month, th… https://t.co/Od3BpRsedW"	1	0	emma hugill	1542626845350412288
37	2022-06-30 21:49:53+00:00	"Explosions in Kharkiv again ‼️ People don't come out of basements, houses are shaking‼️

👉🏻Save Ukrainian refugees:… https://t.co/N9fLzTEkO8"	0	0	International Humanitarian Fund	1542626500930949121
38	2022-06-30 21:49:52+00:00	Maybe #OneFineDay .@CER_EU .@NATO &amp; .@UN will #GetTheMemo .@IAPonomarenko We know .@ZelenskyyUa already understands… https://t.co/MpUSDg8lUe	1	1	sean_nathan	1542626500435857408
39	2022-06-30 21:49:50+00:00	RT @MpeseProud: A #Ukrainian Woman is asking why the military hardware is hidden next to where people resid - she's asking why in public sp…	0	1	Klaus K	1542626489111306241
40	2022-06-30 21:48:38+00:00	Zelenodolsk, Dnipropetrovsk region,  #Russia hit an agricultural enterprise. A warehouse containing 40 tons of grai… https://t.co/BvZVDYdECJ	0	0	Ine	1542626189176864768
41	2022-06-30 21:48:34+00:00	"Sounds nice to Bulgaria if they don´t need to keep any Russian ""diplomats"". It's not a threat, it's a reward👍… https://t.co/WNiyGS6rgQ"	2	0	lamatzi 🇸🇪🇺🇦🌻	1542626172353318913
42	2022-06-30 21:48:33+00:00	"Explosions. 
Explosions. 
Explosions.  
Kharkiv every day, every night.  Rockets.  
Rockets. 
Rockets.  
Every nigh… https://t.co/38xsYLAsL5"	1	0	Надія	1542626168297476096
43	2022-06-30 21:46:47+00:00	"89% of #Ukrainians consider territorial concessions for the sake of peace unacceptable

 81% oppose negotiations to… https://t.co/niBogied0d"	0	0	Ine	1542625724544483328
44	2022-06-30 21:46:01+00:00	RT @mhmck: Don’t let the Russians shift attention away from their missile attack on civilians in a Kremenchuk shopping mall. This was a del…	0	725	Tanja	1542625529777606656
45	2022-06-30 21:45:57+00:00	"RT @Ukraine_DAO: We have a new banner image - #russiaIsATerroristState 

#ArmUkraineNow https://t.co/AYPlKX2l2f"	0	6	Rauf Binnat	1542625514581594116
46	2022-06-30 21:44:50+00:00	RT @TWMCLtd: More explosions reported in #Kharkiv. Air defence may be working. A few minutes before, missiles were seen being launched from…	0	4	Robert Björklund	1542625232489533441
47	2022-06-30 21:43:39+00:00	"RT @S1BEARs: Velyka Kostromka in Krivorozhye was literally ""shot"" by the occupiers - an enemy strike destroyed many buildings... 
#RussiaIs…"	0	2	Sweet Home Alabama	1542624933947363329
48	2022-06-30 21:42:42+00:00	"RT @ua_parliament: We urge the world to recognize russia as a terrorist state!
#RussiaIsATerroristState 
We'll never forgive. #Kremenchuk…"	0	491	krao77	1542624696436510722
49	2022-06-30 21:41:54+00:00	RT @ActionTime: GOOD NEWS for #Ukraine! #Russia LOST Snake Island in Important Victory for Ukraine #RussianLosses #StopPutinNOW #StopRussia…	0	3	Create Signs of Democracy	1542624495529099265
50	2022-06-30 21:41:35+00:00	"RT @S1BEARs: Velyka Kostromka in Krivorozhye was literally ""shot"" by the occupiers - an enemy strike destroyed many buildings... 
#RussiaIs…"	0	2	Create Signs of Democracy	1542624412351885312
51	2022-06-30 21:40:49+00:00	"crater created by rocket strikes that hit the school yard in a residential area of Kharkiv
June 27, 2022… https://t.co/eva8rSiYGs"	0	0	Ine	1542624223021367297
52	2022-06-30 21:39:32+00:00	"RT @walter_report: Russian invaders fled from Snake Island after getting swatted and obliterated by Ukrainian artillery.
That chapter of th…"	0	10	Nate	1542623899262898176
53	2022-06-30 21:37:48+00:00	Let's hope the bullet goes through #Ecclestone and still kills Putin. #RussiaIsATerroristState	1	1	Terry Jones 🇪🇺	1542623463311134723
