	created_at	full_text	favorite_count	retweet_count	account_name	id
0	2022-06-30 23:30:00+00:00	RT @Gerashchenko_en: “This song is for Ukraine. May your families be safe, may this war end, may there be peace, may our children live to s…	0	346	Lilzaichik	1542651697352286208
1	2022-06-30 23:29:36+00:00	@laurenboebert People who are complain about helping Ukraine.Just stop. You need to be thankful for the items that… https://t.co/mhIWrnR4Bh	0	0	Allison Marie 🇺🇦🇺🇸	1542651598156865536
2	2022-06-30 23:28:51+00:00	Rescuers are searching for a man who was sleeping in his apartment when russia hit his apartment in #Mykolaiv… https://t.co/0L6IKHhxvi	4	0	Alina	1542651408826220546
3	2022-06-30 23:28:43+00:00	"RT @With__Ukraine: #Maxar Technologies published satellite images of #Zmiinyi Island.

The photos were taken on June 30. They show the dest…"	0	4	Honorable Dr. Bloc Liars & Abusers	1542651375250591744
4	2022-06-30 23:28:25+00:00	RT @chrischuckry: As Russia continues its illegal invasion of Ukraine, committing war crimes and genocide, it’s comforting to see that NATO…	0	16	☮️ Mospedaw 🇺🇦	1542651297957965825
5	2022-06-30 23:28:24+00:00	RT @UkiLifeAbroad: In 2016 Ukraine closed its embassy in Syria, due to their government's actions in the Syria Civil War, and in 2018 order…	0	1	🇺🇦🇨🇦Тарас Качковський🇨🇦🇺🇦	1542651296402006018
6	2022-06-30 23:28:21+00:00	RT @JaneVoter2018: Ukraine is now in control of Snake Island because they bombed the hell out of the enemy and the enemy had to leave or di…	0	16	🌊🌊🌊🌊Author Dennis Cardiff💉💉💉💉🌊	1542651284595122176
7	2022-06-30 23:28:18+00:00	"RT @Gerashchenko_en: ""Their pain is often not noticed behind human suffering.
Like humans, they lost everything. But they cannot save thems…"	0	577	Ramialcala	1542651269147402241
8	2022-06-30 23:28:02+00:00	"RT @StratcomCentre: Somewhere in Ireland.
#StandWithUkraine https://t.co/jIbStJU8bW"	0	536	Our Lucky +ve Country Returns	1542651203146108928
9	2022-06-30 23:27:58+00:00	"RT @4Gelly: From Rufus Taylor : 
10 years ago today. @adamlambert and my first touring @QueenWillRock  show in Kiev, Ukraine. It was big...…"	0	46	Dee Emr	1542651187828326401
10	2022-06-30 23:27:53+00:00	"RT @Gerashchenko_en: ""Their pain is often not noticed behind human suffering.
Like humans, they lost everything. But they cannot save thems…"	0	577	All Things N Matters	1542651165690789889
11	2022-06-30 23:27:46+00:00	"The Russian Mafia continues at its work.   Hopefully a few Harpoons find some new 🇷🇺targets. 

#StandWithUkraine… https://t.co/l33GXOhBPj"	2	0	Ben Caffe 🇩🇪🇳🇱🇺🇲⚽ 🇺🇦 #ArmUkraineNOW ☮️	1542651135487610880
12	2022-06-30 23:27:01+00:00	"RT @AdamL_Daily: 📷|Rufus Taylor on Instagram:""10 years ago today. @AdamLambert and my first touring @QueenWillRock show in Kiev, Ukraine. I…"	0	48	Dee Emr	1542650948757200905
13	2022-06-30 23:26:53+00:00	"RT @Gerashchenko_en: ""Their pain is often not noticed behind human suffering.
Like humans, they lost everything. But they cannot save thems…"	0	577	sea bluemoon117351	1542650913050923009
14	2022-06-30 23:26:47+00:00	RT @TheDemCoalition: President Biden knows that our battle against fascism and authoritarianism and in support of Democracy is a two front…	0	32	Tatsu De. Mtz 🔥❄🇺🇸🇲🇽🇨🇦🇯🇵🇺🇦🇫🇷🇩🇪	1542650888317280256
15	2022-06-30 23:26:33+00:00	This is the world for Ukrainians after 24.02 #RussiaTerroristState #GenocideOfUkrainians #ArmUkraineNow… https://t.co/K7OT5jzoAn	2	0	Alina	1542650831631261696
16	2022-06-30 23:26:18+00:00	"RT @Angel_nDisguise: rufusttaylor's IG post: ""10 years ago today. @adamlambert and my first touring @QueenWillRock show in Kiev, Ukraine. I…"	0	24	kozo	1542650767273693184
17	2022-06-30 23:26:17+00:00	RT @Gerashchenko_en: “This song is for Ukraine. May your families be safe, may this war end, may there be peace, may our children live to s…	0	346	Armi Channa 💪🇺🇦🙏	1542650762198515713
18	2022-06-30 23:26:02+00:00	"RT @4Gelly: From Rufus Taylor : 
10 years ago today. @adamlambert and my first touring @QueenWillRock  show in Kiev, Ukraine. It was big...…"	0	46	kozo	1542650701100158976
19	2022-06-30 23:25:42+00:00	#Ukrainian channels are reporting that approximately an hour ago a residential area in #Odessa region was bomber wi… https://t.co/z5g560oceH	17	10	Mveiga Aldemira	1542650615901331456
20	2022-06-30 23:24:37+00:00	"RT @uafreesky: ⚡️Indicative combat losses of the Russian occupation army as of June 30 according to the Armed Forces of Ukraine.
#StopWarIn…"	0	2	Cymru am Byth #FBPE	1542650341690408962
21	2022-06-30 23:24:35+00:00	RT @Gerashchenko_en: “This song is for Ukraine. May your families be safe, may this war end, may there be peace, may our children live to s…	0	346	Max	1542650336170631168
22	2022-06-30 23:24:12+00:00	"RT @AdamL_Daily: 📷|Rufus Taylor on Instagram:""10 years ago today. @AdamLambert and my first touring @QueenWillRock show in Kiev, Ukraine. I…"	0	48	kozo	1542650236350304263
23	2022-06-30 23:24:05+00:00	RT @Gerashchenko_en: “This song is for Ukraine. May your families be safe, may this war end, may there be peace, may our children live to s…	0	346	BibiKor 🇺🇦 🇰🇷🇵🇭	1542650208680411136
24	2022-06-30 23:23:26+00:00	"Hail #CAESAR 🇫🇷🇫🇷🇫🇷

#UkraineRussiaWar #Anonymous #FckPutin #StandWithUkraine #PutinIsaWarCriminal 
#RussianArmy… https://t.co/8SiiER0fhb"	0	0	Boomersaurus	1542650046902145026
25	2022-06-30 23:23:09+00:00	Check this week's reading suggestion at https://t.co/7x92G5j0C0: @theauthorsshow @blantonstroud @Free_Boundaries… https://t.co/04bBECwHG6	0	0	BooksGS	1542649974273363970
26	2022-06-30 23:22:18+00:00	Arrival to the resort village in the Odessa region. Many victims‼️Windows flew out within a radius of 2 km. It is r… https://t.co/t3F21T97rp	0	0	International Humanitarian Fund	1542649758367596544
27	2022-06-30 23:22:05+00:00	RT @Gerashchenko_en: “This song is for Ukraine. May your families be safe, may this war end, may there be peace, may our children live to s…	0	346	Gosia (she/her)💙💛🤍❤️	1542649705125089282
28	2022-06-30 23:21:54+00:00	"RT @4Gelly: From Rufus Taylor : 
10 years ago today. @adamlambert and my first touring @QueenWillRock  show in Kiev, Ukraine. It was big...…"	0	46	Sandy	1542649658677219329
29	2022-06-30 23:21:51+00:00	"RT @Gerashchenko_en: ""Their pain is often not noticed behind human suffering.
Like humans, they lost everything. But they cannot save thems…"	0	577	Jorge Medeiros	1542649647453425672
30	2022-06-30 23:21:29+00:00	RT @JaneVoter2018: Why was a Russian ship carrying oil able to travel up the Mississippi River near Destrehan, Louisiana before being stopp…	0	507	Maureen Delaney	1542649554834685952
31	2022-06-30 23:21:20+00:00	"#StandWithUkraine 
 
https://t.co/3JHsLngAJX Is Now Playing - 
Stone Temple Pilots - Wicked Garden - Video:  https://t.co/v1W4Pq4vFQ"	0	0	Arvada Rocks Radio	1542649518419763207
