	created_at	full_text	favorite_count	retweet_count	account_name	id
0	2022-06-30 22:14:57+00:00	"RT @Gerashchenko_en: This is the first video of our Defenders that #Ukraine was able to return home yesterday. 

I cannot even imagine thei…"	0	228	Remeeno 💪🇺🇦🔱	1542632812083220481
1	2022-06-30 22:13:31+00:00	"RT @Gerashchenko_en: This is the first video of our Defenders that #Ukraine was able to return home yesterday. 

I cannot even imagine thei…"	0	228	David Woodcock	1542632450131693568
2	2022-06-30 22:11:50+00:00	“The #Russians are removing weapons and military equipment from storage in the most remote regions of #Russia, such… https://t.co/DSxj3OKIgt	0	0	Diplomacy140	1542632025479413760
3	2022-06-30 22:11:00+00:00	@Flash43191300 Long lonely walk, or too afraid of being in close contact with “others”…or a Muslim to Muslim respec… https://t.co/WKceK9wfcQ	0	0	🇺🇦 La Vache Rouge 23 🇺🇦	1542631818482024451
4	2022-06-30 22:09:36+00:00	RT @IuliiaMendel: The Russians are removing weapons and military equipment from storage in the most remote regions of Russia, such as Kalin…	0	106	Jim Niva	1542631464390610944
5	2022-06-30 22:07:39+00:00	"RT @yungboosie56: https://t.co/jH6fcl6wiI via @YouTube Muscovites have all hope for famine.
It would be better if they hoped that the grand…"	0	326	iiji	1542630975569543168
6	2022-06-30 22:06:25+00:00	"RT @Gerashchenko_en: This is the first video of our Defenders that #Ukraine was able to return home yesterday. 

I cannot even imagine thei…"	0	228	Sr. Victoria Verhein	1542630664473903104
7	2022-06-30 22:06:21+00:00	"RT @Gerashchenko_en: This is the first video of our Defenders that #Ukraine was able to return home yesterday. 

I cannot even imagine thei…"	0	228	James Aichlmayr	1542630644584292352
8	2022-06-30 22:06:04+00:00	RT @u24_news: The mosaic image of Volodymyr @ZelenskyyUa  was created from photos of buildings destroyed during terrorist 🤮☠️ Russia's inva…	0	41	Ricardo Rey 🌻🇺🇦☮️☯️ Slava Ukraini!	1542630573499453440
9	2022-06-30 22:05:35+00:00	RT @kiraincongress: Poles have raised a first million to buy a Bayraktar TB2 for Ukraine. The fundraiser was initiated by Polish journalist…	0	251	British-H.K.Gov.	1542630455316402176
10	2022-06-30 22:05:29+00:00	RT @u24_news: The mosaic image of Volodymyr @ZelenskyyUa  was created from photos of buildings destroyed during terrorist 🤮☠️ Russia's inva…	0	41	Linda	1542630428074557441
11	2022-06-30 22:02:50+00:00	RT @ZelenskyyUa: Had a phone conversation with NATO Secretary General @jensstoltenberg. Coordinated positions on the eve of the #NATOSummit…	0	2668	Christie Woolsey 🇺🇦 #DemCastWA	1542629763017105408
12	2022-06-30 22:01:54+00:00	"RT @Gerashchenko_en: This is the first video of our Defenders that #Ukraine was able to return home yesterday. 

I cannot even imagine thei…"	0	228	dirk schilling	1542629527779790855
13	2022-06-30 22:01:53+00:00	"RT @yungboosie56: Russia is a terrorist country that wants to blackmail the world
Everyone must unite to stop it now

#russiaisaterroristst…"	0	362	David gadelha1	1542629520951447554
14	2022-06-30 22:00:48+00:00	"RT @StratcomCentre: Russia is a terrorist state
#StopRussia https://t.co/f1V48H0z2t"	0	164	Jörg Brinkmann	1542629248711671814
15	2022-06-30 22:00:43+00:00	RT @StefanishynaO: Thank @gmfus for the important  discussion on #MarshallPlan for Ukraine and international efforts to #stopRussia's war a…	0	13	Jörg Brinkmann	1542629229589929984
16	2022-06-30 21:59:47+00:00	RT @Gerashchenko_en: After #Lithuania blocked the transit of Russian cargo to #Kaliningrad through Lithuanian territory, Russians are talki…	0	114	Jörg Brinkmann	1542628994595655681
17	2022-06-30 21:59:43+00:00	"RT @Gerashchenko_en: This is the first video of our Defenders that #Ukraine was able to return home yesterday. 

I cannot even imagine thei…"	0	228	Jörg Brinkmann	1542628976459390981
18	2022-06-30 21:58:51+00:00	"I SUPPORT UKRAINE 🇺🇦

STOP THE WAR

#SlavaUkraini #StopRussia #StopPutin #PutinWarCriminal #NFT #NFTCommunity… https://t.co/qF0RPcskRB"	3	0	ʀick ᴡᴇᴢenaar 🏳️‍🌈 // henpai //	1542628759165075458
19	2022-06-30 21:57:38+00:00	"RT @uacrisis: 36 people remain missing, 18 people were killed, and about 60 people were injured.
Recall that on June 27 the Russian militar…"	0	7	Geert Jan Hahn	1542628454381780993
20	2022-06-30 21:57:00+00:00	"#128dayofwar

⚡ #Canada will supply Ukraine with 39 armored vehicles - Justin Trudeau (@JustinTrudeau), Canadian Pr… https://t.co/d0KSR8wa0r"	22	3	Blog about the war for free Ukraine 🇺🇦	1542628292666298372
21	2022-06-30 21:57:00+00:00	"RT @armyinformcomua: #Russian losses as of June 30 according to @GeneralStaffUA numbers. 

#StopRussia https://t.co/Wxyk0NxaLR"	0	61	Rauf Binnat	1542628292368424962
22	2022-06-30 21:55:46+00:00	"RT @EngYanyong: 🌍👉Putin says there are no concerns about #Finland and #Sweden joining NATO.
“We have nothing to worry about in terms of Fin…"	0	16	Jere Borner	1542627982195441664
23	2022-06-30 21:54:02+00:00	RT @kiraincongress: Poles have raised a first million to buy a Bayraktar TB2 for Ukraine. The fundraiser was initiated by Polish journalist…	0	251	Sedat Semavi	1542627548147884038
