,date,heading,link,image
0,"Wednesday, 23 February 2022",Biden imposes sanctions on company behind Nord Stream 2 gas pipeline – as it happened,https://www.theguardian.com/us-news/live/2022/feb/23/biden-ukraine-russia-crisis-putin-trump-republicans-politics-latest-live,https://i.guim.co.uk/img/media/cf521f0cc79f03f93d7b2e7846a98c9d103047e3/0_400_6000_3600/master/6000.jpg?width=300&quality=85&auto=format&fit=max&s=7d17283140326d515d5cb26c62e1791a
1,"Wednesday, 23 February 2022",Putin’s looming threat gives Johnson some breathing space,https://www.theguardian.com/politics/2022/feb/23/putins-looming-threat-gives-johnson-some-breathing-space,
2,"Wednesday, 23 February 2022",From ‘Putin’s chef’ to the RT editor: names expected to appear on EU sanctions list,https://www.theguardian.com/world/2022/feb/23/from-putins-chef-to-the-rt-editor-names-expected-to-appear-on-eu-sanctions-list,https://i.guim.co.uk/img/media/050c522ae5cc5e3e940692bbf0ef664bdadd34f2/0_13_4590_2753/master/4590.jpg?width=300&quality=85&auto=format&fit=max&s=bf48f8e32d7263e332703b46de24aad5
3,"Wednesday, 23 February 2022",Martin Rowson on Russian donors to the Tory party — cartoon,https://www.theguardian.com/commentisfree/picture/2022/feb/23/martin-rowson-on-russian-donors-to-the-tory-party-cartoon,https://i.guim.co.uk/img/media/4e76cd7e65bb82fd5d8a1e44258dddfb95e7911f/0_44_4866_2919/master/4866.jpg?width=300&quality=85&auto=format&fit=max&s=cfa944af8eb1d4a94808b22700280bed
4,"Wednesday, 23 February 2022",EU approves wide-ranging sanctions against Russia over Ukraine,https://www.theguardian.com/world/2022/feb/23/eu-poised-to-announce-wide-ranging-sanctions-on-russia-over-ukraine,
5,"Wednesday, 23 February 2022",Keir Starmer urges Boris Johnson to end ‘era of oligarch impunity’ – as it happened,https://www.theguardian.com/politics/live/2022/feb/23/uk-politics-live-boris-johnson-ukraine-russia-pmqs-latest-updates,
6,"Wednesday, 23 February 2022",Fighting the threat from Putin will take teamwork. But who trusts Johnson’s Britain?,https://www.theguardian.com/commentisfree/2022/feb/23/europe-vladimir-putin-boris-johnson-ukraine-britain,
7,"Wednesday, 23 February 2022",Ukrainians in UK making plans to return home to take up arms,https://www.theguardian.com/world/2022/feb/23/ukrainians-in-uk-making-plans-to-return-home-to-take-up-arms,
8,"Wednesday, 23 February 2022",What steps should Britain take to avert war in Ukraine?,https://www.theguardian.com/world/2022/feb/23/what-steps-should-britain-take-to-avert-war-in-ukraine,
9,"Wednesday, 23 February 2022",Understanding Putin’s narrative about Ukraine is the master key to this crisis,https://www.theguardian.com/commentisfree/2022/feb/23/putin-narrative-ukraine-master-key-crisis-nato-expansionism-frozen-conflict,
